unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_B3,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#1,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#2,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q18#2,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#1,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#2,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q19#1,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q19#2,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q16#1,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q16#2,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q19#1,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q19#2,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q20#1,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-ERMO-Q20#2,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG,12,选择题,,整题,OUT,完整题-选择题照收,缺答案键-已核实,"题库rubric_links.csv对该题有明确负例记录(已检查,本题不适用)",不明,2026-09-24-attribution-v3
BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-HD-ERMO-Q21#1,BJ-2023-HD-ERMO-Q21,BJ-2023-HD-ERMO-Q21,BJ-2023-HD-ERMO,21,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-XC-YIMO-Q19#1,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-XC-YIMO-Q19#2,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-XC-ERMO-Q21#1,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO,21,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-XC-ERMO-Q21#2,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO,21,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
