卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-CY-ERMO,10,②,选择题(题肢),X1,首判(c004),高,制造业升级、创新驱动、市场准入属B2；贸易壁垒、出口竞争涉X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q10
BJ-2023-CY-ERMO,10,④,选择题(题肢),X1,首判(c004),高,制造业升级、创新驱动、市场准入属B2；贸易壁垒、出口竞争涉X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q10
BJ-2023-CY-ERMO,15,A,选择题(题肢),X1,首判(c004),高,主权国家与国际组织、政体、伙伴关系、金砖合作均属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q15
BJ-2023-CY-ERMO,15,B,选择题(题肢),X1,首判(c004),高,主权国家与国际组织、政体、伙伴关系、金砖合作均属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q15
BJ-2023-CY-ERMO,15,C,选择题(题肢),X1,首判(c004),高,主权国家与国际组织、政体、伙伴关系、金砖合作均属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q15
BJ-2023-CY-ERMO,15,D,选择题(题肢),X1,首判(c004),高,主权国家与国际组织、政体、伙伴关系、金砖合作均属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q15
BJ-2023-CY-YIMO,15,A,选择题(题肢),X1,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q15
BJ-2023-CY-YIMO,15,B,选择题(题肢),X1,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q15
BJ-2023-CY-YIMO,15,D,选择题(题肢),X1,升级复判(escc01),中,外交宗旨、全球话语体系属X1；B讲好中国故事涉文化传播（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-YIMO-Q15
BJ-2023-DC-ERMO,1,③,选择题(题肢),X1,升级复判(escc01),中,中国式现代化、科学社会主义、道路多样性属B1；卡1列道路多样性排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q1
BJ-2023-DC-ERMO,13,①,选择题(题肢),X1,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q13
BJ-2023-DC-ERMO,13,②,选择题(题肢),X1,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q13
