类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2020-BJ-GAOKAO,2020北京高考,7,选择题,跨,完整题-选择题照收,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治,BJ-2020-BJ-GAOKAO-Q7,
漏收,BJ-2022-BJ-GAOKAO,2022北京高考,2,选择题,跨,完整题-选择题照收,升级复判(escc01),低,②国家治理制度安排；④共同富裕属B2；CU仅劳模激励弱角度,BJ-2022-BJ-GAOKAO-Q2,
漏收,BJ-2023-BJ-GAOKAO,2023北京高考,9,选择题,跨,完整题-选择题照收,首判(c003),中,②权责统一、③④便民政府与以人民为中心属B3；①民事自愿原则属X2,BJ-2023-BJ-GAOKAO-Q9,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,13,选择题,主,完整题-选择题照收,金标(gold_final),高,继承、遗嘱、意定监护，法律与生活,BJ-2023-CY-ERMO-Q13,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,14,选择题,主,完整题-选择题照收,首判(c004),高,专利与商业秘密保护比较，属选必二知识产权,BJ-2023-CY-ERMO-Q14,
漏收,BJ-2023-CY-ERMO,2023朝阳二模,3,选择题,主,完整题-选择题照收,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI,BJ-2023-CY-ERMO-Q3,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,13,选择题,主,完整题-选择题照收,首判(c005),高,笔名参照姓名权保护、著作权、民法原则，属法律与生活,BJ-2023-CY-YIMO-Q13,
漏收,BJ-2023-CY-YIMO,2023朝阳一模,14,选择题,跨,完整题-选择题照收,首判(c005),中,设问“推理合理”考假言推理条件关系；合同效力为法律背景知识,BJ-2023-CY-YIMO-Q14,
漏收,BJ-2023-DC-ERMO,2023东城二模,11,选择题,主,完整题-选择题照收,升级复判(escc01),中,身体权、个人信息侵权属X2；C养老服务保障体系属B2社会保障,BJ-2023-DC-ERMO-Q11,
漏收,BJ-2023-DC-ERMO,2023东城二模,12,选择题,主,完整题-选择题照收,首判(c005),中,知识产权维权属法律；融资风险、保护产权激发创新属经济角度,BJ-2023-DC-ERMO-Q12,
漏收,BJ-2023-DC-ERMO,2023东城二模,13,选择题,跨,完整题-选择题照收,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律,BJ-2023-DC-ERMO-Q13,
漏收,BJ-2023-DC-YIMO,2023东城一模,10,选择题,主,完整题-选择题照收,首判(c006),高,名誉权受侵害请求赔礼道歉、侵权责任判断，属法律与生活,BJ-2023-DC-YIMO-Q10,
漏收,BJ-2023-DC-YIMO,2023东城一模,11,选择题,跨,完整题-选择题照收,升级复判(escc01),中,司法职能、诉讼服务属公正司法；人民调解、非诉讼机制属X2；无经济点,BJ-2023-DC-YIMO-Q11,
漏收,BJ-2023-DC-YIMO,2023东城一模,17,主观题,主,完整题-有E1,首判(s006),中,点名政法与法律；细则党领导、人大立法(B3)，财产权(X2)；产权激发市场活力、公共服务可落B2,BJ-2023-DC-YIMO-Q17,
漏收,BJ-2023-DC-YIMO,2023东城一模,20(2),主观题,跨,完整题-有E1,首判(s007),高,细则：党的领导、民主参与(B3)，劳动合同(X2)，收入分配共享(B2),BJ-2023-DC-YIMO-Q20#2,
漏收,BJ-2023-DC-YIMO,2023东城一模,8,选择题,跨,完整题-选择题照收,首判(c006),中,法律促进道德、执法主体属B3；正确肢③第三次分配共同富裕属B2,BJ-2023-DC-YIMO-Q8,
漏收,BJ-2023-FT-ERMO,2023丰台二模,12,选择题,主,完整题-选择题照收,首判(c007),高,居住权、公序良俗、审判监督程序，均为民法与诉讼知识,BJ-2023-FT-ERMO-Q12,
漏收,BJ-2023-FT-ERMO,2023丰台二模,13,选择题,主,完整题-选择题照收,升级复判(escc01),高,劳动争议仲裁前置、离婚不可仲裁、行政诉讼均属X2；卡1明列排除B2,BJ-2023-FT-ERMO-Q13,
漏收,BJ-2023-FT-YIMO,2023丰台一模,13,选择题,主,完整题-选择题照收,升级复判(escc01),中,格式条款、违约与侵权、不可抗力属X2；交易秩序仅判决作用,BJ-2023-FT-YIMO-Q13,
漏收,BJ-2023-FT-YIMO,2023丰台一模,14,选择题,主,完整题-选择题照收,首判(c007),高,著作权、专利权、商标权保护规则,BJ-2023-FT-YIMO-Q14,
漏收,BJ-2023-HD-ERMO,2023海淀二模,14,选择题,主,完整题-选择题照收,首判(c008),中,要约与合同成立、仲裁协议属选必二；正确项政府监管市场秩序属必修二,BJ-2023-HD-ERMO-Q14,
漏收,BJ-2023-HD-ERMO,2023海淀二模,15,选择题,跨,完整题-选择题照收,升级复判(escc01),高,检察机关职能、司法公正属B3；支持起诉非代替起诉属X2,BJ-2023-HD-ERMO-Q15,
漏收,BJ-2023-HD-ERMO,2023海淀二模,19,主观题,主,完整题-有E1,升级复判(escs01),高,法官视角评诉讼请求；细则为民事权利、物业义务、绿色原则、相邻关系,BJ-2023-HD-ERMO-Q19,
漏收,BJ-2023-HD-ERMO,2023海淀二模,20(1),主观题,跨,完整题-有E1,首判(s008),中,法治知识填意义；细则维护市场秩序公平竞争(B2)、主体民事权利消费者权益(X2)、替代科学立法(B3),BJ-2023-HD-ERMO-Q20#1,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,11,选择题,跨,完整题-选择题照收,首判(c008),中,黄牛票治理：市场秩序与监管为主；经营者告知义务、消费者权益涉选必二,BJ-2023-HD-QIZHONG-Q11,
漏收,BJ-2023-HD-YIMO,2023海淀一模,12,选择题,跨,完整题-选择题照收,升级复判(escc01),中,司法保护、督促依法履职属B3；公益诉讼程序属X2；生态仅背景,BJ-2023-HD-YIMO-Q12,
漏收,BJ-2023-HD-YIMO,2023海淀一模,13,选择题,主,完整题-选择题照收,首判(c009),中,姓名权、民事责任属选必二；④检察机关法律监督非监察权属B3；③核心价值观,BJ-2023-HD-YIMO-Q13,
漏收,BJ-2023-XC-ERMO,2023西城二模,10,选择题,主,完整题-选择题照收,升级复判(escc02),中,诉前禁止令、侵权、诉讼调解属X2；③公正司法属B3；无经济角度,BJ-2023-XC-ERMO-Q10,
漏收,BJ-2023-XC-ERMO,2023西城二模,11,选择题,主,完整题-选择题照收,首判(c010),中,著作权侵权/人身权/保护期属X2；③保护产权激励创新有B2角度,BJ-2023-XC-ERMO-Q11,
漏收,BJ-2023-XC-ERMO,2023西城二模,20,主观题,跨,完整题-有E1,首判(s011),中,法的特征、司法监督属B3；国有财产保值增值与公共服务社保属B2,BJ-2023-XC-ERMO-Q20,
漏收,BJ-2023-XC-YIMO,2023西城一模,14,选择题,主,完整题-选择题照收,首判(c011),中,名誉权、管辖、举证责任属法律与生活；③公民监督权涉必修三,BJ-2023-XC-YIMO-Q14,
漏收,BJ-2023-XC-YIMO,2023西城一模,15,选择题,主,完整题-选择题照收,首判(c011),高,合同效力、违约责任、立案登记，均为法律与生活,BJ-2023-XC-YIMO-Q15,
漏收,BJ-2023-XC-YIMO,2023西城一模,19(1),主观题,主,完整题-有E1,升级复判(escs01),中,运用法律知识；细则为诚信告知义务、全面履行合同、公平；市场秩序仅社会效果,BJ-2023-XC-YIMO-Q19#1,
漏收,BJ-2023-XC-YIMO,2023西城一模,19(2),主观题,主,完整题-有E1,升级复判(escs01),中,法律角度谈诚信；细则为法律义务、交易安全秩序，替代含核心价值观,BJ-2023-XC-YIMO-Q19#2,
漏收,BJ-2024-CY-ERMO,2024朝阳二模,10,选择题,跨,完整题-选择题照收,首判(c012),中,政府服务效能、职能转变、居民决策权属B3；B肢相邻不动产权利涉X2,BJ-2024-CY-ERMO-Q10,
漏收,BJ-2024-DC-ERMO,2024东城二模,6,选择题,跨,完整题-选择题照收,升级复判(escc02),中,正确项创新思维属MI；A/B司法救助、法律援助属B3/X2；D企业治理属B2,BJ-2024-DC-ERMO-Q6,
漏收,BJ-2024-FT-YIMO,2024丰台一模,12,选择题,跨,完整题-选择题照收,首判(c017),中,民营经济、要素市场化、国民经济控制力属必修二；④知识产权惩罚性赔偿涉选必二,BJ-2024-FT-YIMO-Q12,
漏收,BJ-2024-HD-ERMO,2024海淀二模,7,选择题,跨,完整题-选择题照收,首判(c018),中,人大立法权、行政复议非司法、法治政府属B3；多元纠纷解决可用X2,BJ-2024-HD-ERMO-Q7,
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,10,选择题,跨,完整题-选择题照收,升级复判(escc02),中,多元共治、科学立法属B3；③④诉讼与侵权责任属X2；无经济角度,BJ-2024-HD-QIZHONG-Q10,
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,10,选择题,跨,完整题-选择题照收,升级复判(escc03),中,多方参与治理、立法关注特殊群体属B3；③④诉讼对象与责任需X2；无经济考点,BJ-2025-HD-QIZHONG-Q10,
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,11,选择题,跨,完整题-选择题照收,升级复判(escc03),低,司法局编法律指引以案释法属法治社会B3；选项缺失，经济角度无法确认,BJ-2025-HD-QIZHONG-Q11,
漏收,BJ-2024-SJS-YIMO,2024石景山一模,7,选择题,跨,完整题-选择题照收,首判(c021),中,概念外延关系属推理；各肢须用财产权/国体政体/主要矛盾/领土知识,BJ-2024-SJS-YIMO-Q7,
漏收,BJ-2024-SY-ERMO,2024顺义二模,6,选择题,跨,完整题-选择题照收,首判(c021),中,划分、条件关系、复合判断、排中律属推理；A须知法定继承子女范围,BJ-2024-SY-ERMO-Q6,
漏收,BJ-2024-SY-ERMO,2024顺义二模,8,选择题,跨,完整题-选择题照收,首判(c022),中,答案B法治政府与检察监督属B3；C公诉、D诉讼调解需诉讼程序知识,BJ-2024-SY-ERMO-Q8,
漏收,BJ-2025-CY-ERMO,2025朝阳二模,13,选择题,跨,完整题-选择题照收,金标(gold_final),中,社会信用体系、市场调节、信贷融资；D信用信息使用涉信息保护,BJ-2025-CY-ERMO-Q13,
漏收,BJ-2025-DC-ERMO,2025东城二模,17,主观题,跨,完整题-有E1,首判(s031),中,设问法治知识；细则司法公正/公信力属B3，降低维权成本、诉讼效率可涉X2诉讼,BJ-2025-DC-ERMO-Q17,
漏收,BJ-2025-DC-YIMO,2025东城一模,9,选择题,跨,完整题-选择题照收,首判(c029),高,行政执法监督、法治政府、保护相对人权益；A行政诉讼涉选必二,BJ-2025-DC-YIMO-Q9,
漏收,BJ-2025-HD-QIMO,2025海淀期末,19,主观题,主,完整题-有E1,首判(s036),中,法律知识析不正当竞争；细则数字经济/创新、市场秩序/营商环境各1分,BJ-2025-HD-QIMO-Q19,
漏收,BJ-2025-HD-YIMO,2025海淀一模,11,选择题,主,完整题-选择题照收,首判(c035),中,合伙企业、有限公司、营利法人属选必二创业；①企业所得税涉必修二税收,BJ-2025-HD-YIMO-Q11,
漏收,BJ-2025-SJS-YIMO,2025石景山一模,10,选择题,跨,完整题-选择题照收,首判(c036),中,农村土地制度与收入属经济；①上层建筑辨析属哲学；②土地权利涉法律,BJ-2025-SJS-YIMO-Q10,
漏收,BJ-2025-XC-YIMO,2025西城一模,9,选择题,跨,完整题-选择题照收,首判(c039),中,严格执法、公正司法、保障行政相对人权益属B3；民事纠纷、行政复议涉X2,BJ-2025-XC-YIMO-Q9,
漏收,BJ-2026-CP-ERMO,2026昌平二模,10,选择题,主,完整题-选择题照收,首判(c041),高,土地流转合同要约、不可抗力、违约责任、合同效力,BJ-2026-CP-ERMO-Q10,
漏收,BJ-2026-CP-ERMO,2026昌平二模,11,选择题,主,完整题-选择题照收,首判(c041),高,劳动仲裁调解、人民调解、行政调解、调解后诉权,BJ-2026-CP-ERMO-Q11,
漏收,BJ-2026-CP-ERMO,2026昌平二模,18,主观题,主,完整题-有E1,首判(s042),高,设问点名法律与生活；细则肖像权声音权益、消费者知情权、侵权责任,BJ-2026-CP-ERMO-Q18,
漏收,BJ-2026-CP-QIMO,2026昌平期末,10,选择题,主,完整题-选择题照收,首判(c042),高,遗嘱形式效力、必留份、遗赠扶养协议属法律与生活,BJ-2026-CP-QIMO-Q10,
漏收,BJ-2026-CP-QIMO,2026昌平期末,11,选择题,主,完整题-选择题照收,金标(gold_final),低,裁定：主考法律与生活；④法院诉前调解兼涉B3公正司法，但判断关键在调解，B3拿不准暂缓,BJ-2026-CP-QIMO-Q11,
漏收,BJ-2026-CP-QIMO,2026昌平期末,12,选择题,跨,完整题-选择题照收,首判(c042),中,市场配置资源、生态补偿、区域协调属经济；①所有权涉物权,BJ-2026-CP-QIMO-Q12,
漏收,BJ-2026-CP-QIMO,2026昌平期末,18,主观题,主,完整题-有E1,首判(s042),中,设问点名法律与生活，考著作权侵权；法治价值含规范市场秩序、公平竞争、营商环境,BJ-2026-CP-QIMO-Q18,
漏收,BJ-2026-DC-YIMO,2026东城一模,9,选择题,跨,完整题-选择题照收,首判(c048),中,①根本动力属哲学社会基本矛盾；②③依法治国/学校依法履职；④现代化建设属必修一,BJ-2026-DC-YIMO-Q9,
漏收,BJ-2026-FT-QIMO,2026丰台期末,19,主观题,主,完整题-有E1,金标(gold_final),中,点名法律与生活，遗赠扶养协议社会价值；细则正文未见，经济角度待核,BJ-2026-FT-QIMO-Q19,
漏收,BJ-2026-HD-QIZHONG,2026海淀期中,5,选择题,跨,完整题-选择题照收,金标(gold_final),低,裁定：②企业走出去研究东道国法规防风险属选必一开放内容；④完善知识产权保护制度属产权/法律；答案缺,BJ-2026-HD-QIZHONG-Q5,
漏收,BJ-2026-HD-YIMO,2026海淀一模,9,选择题,跨,完整题-选择题照收,首判(c053),中,公共法律服务、政府职能、司法防线、法治社会属B3；诉讼权利涉X2,BJ-2026-HD-YIMO-Q9,
漏收,BJ-2026-SJS-QIMO,2026石景山期末,12,选择题,主,收-具名例外,首判(c055),高,过错责任、诉讼时效、举证责任、公平补偿，选必二侵权,BJ-2026-SJS-QIMO-Q12,
漏收,BJ-2026-TZ-YIMO,2026通州一模,11,选择题,跨,完整题-选择题照收,首判(c057),中,法治政府、依法履职属B3；③上诉期限、④司法审查涉X2诉讼,BJ-2026-TZ-YIMO-Q11,
漏收,BJ-2023-HD-YIMO,2023海淀一模,19,主观题,跨,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s010),中,设问点名经济与社会；答案创新激励、民生公平、市场秩序；专利权涉X2；细则正文缺失,BJ-2023-HD-YIMO-Q19,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
待核证据,BJ-2024-DC-YIMO,2024东城一模,17,主观题,跨,待裁决-证据未核实（题目md写明细则PPTX“已独立裁定为本卷详细题级评分主载体”，幻灯片26列有相关阅卷细则，rubric_links为“存在候选”，2026-09-24二次返修改回待核）,首判(s017),中,设问经济和法治；细则市场竞争秩序、依法行政；反垄断法经营者权益可跨选必二,BJ-2024-DC-YIMO-Q17,改回待核：此前因bank.py字面匹配误转负“不收-无E1”，实际题目md/rubric_links显示存在候选细则材料，未达“明确无E1”标准，改回待核证据，不计入漏收（2026-09-24二次返修更正）
漏收,BJ-2025-HD-ERMO,2025海淀二模,22,主观题,跨,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s036),中,综合短文；细则列中国梦/现代化、全球化、企业经营、文化传播、法律、个人价值、党的领导,BJ-2025-HD-ERMO-Q22,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
待核证据,BJ-2025-HD-YIMO,2025海淀一模,20,主观题,跨,待裁决-证据未核实,首判(s037),中,甲企业诚信经营创新属B2；乙政协职能明示必修三；候选细则许创新思维、反不正当竞争,BJ-2025-HD-YIMO-Q20,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
