卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2020-BJ-GAOKAO,10,①,选择题(题肢),B3,首判(c001),中,正确肢②④人大对外交往属国际政治；①③人大与议会职权、常设机关属政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q10
BJ-2020-BJ-GAOKAO,10,③,选择题(题肢),B3,首判(c001),中,正确肢②④人大对外交往属国际政治；①③人大与议会职权、常设机关属政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q10
BJ-2020-BJ-GAOKAO,10,④,选择题(题肢),B3,首判(c001),中,正确肢②④人大对外交往属国际政治；①③人大与议会职权、常设机关属政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q10
BJ-2020-BJ-GAOKAO,7,①,选择题(题肢),B3,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q7
BJ-2020-BJ-GAOKAO,7,④,选择题(题肢),B3,升级复判(escc01),中,②公共资源不按市场原则配置属B2；③隐私权、④合法性审查属法治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q7
BJ-2020-BJ-GAOKAO,9,①,选择题(题肢),B3,升级复判(escc01),中,党员作用、基层党组织、国家机关属B3；仅②收入差距涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q9
BJ-2020-BJ-GAOKAO,9,③,选择题(题肢),B3,升级复判(escc01),中,党员作用、基层党组织、国家机关属B3；仅②收入差距涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q9
BJ-2020-BJ-GAOKAO,9,④,选择题(题肢),B3,升级复判(escc01),中,党员作用、基层党组织、国家机关属B3；仅②收入差距涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2020-BJ-GAOKAO-Q9
BJ-2022-BJ-GAOKAO,1,①,选择题(题肢),B3,升级复判(escc01),中,初级阶段、党的全部理论主题属B1；④实践证明科学性有PH角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2022-BJ-GAOKAO-Q1
BJ-2022-BJ-GAOKAO,2,②,选择题(题肢),B3,升级复判(escc01),低,②国家治理制度安排；④共同富裕属B2；CU仅劳模激励弱角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2022-BJ-GAOKAO-Q2
BJ-2022-BJ-GAOKAO,3,③,选择题(题肢),B3,首判(c002),中,青年运动主题B1；④社会基本矛盾PH；②思想文化指导CU（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2022-BJ-GAOKAO-Q3
BJ-2023-BJ-GAOKAO,1,②,选择题(题肢),B3,升级复判(escc01),中,②④赶考清醒、初心属党的建设；红色文化汲取力量属CU；①③党史（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-BJ-GAOKAO-Q1
BJ-2023-BJ-GAOKAO,1,④,选择题(题肢),B3,升级复判(escc01),中,②④赶考清醒、初心属党的建设；红色文化汲取力量属CU；①③党史（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-BJ-GAOKAO-Q1
BJ-2023-CY-ERMO,3,①,选择题(题肢),B3,首判(c004),中,个人信息保护、名誉权荣誉权属X2；基本法律涉B3；全面观点PH/MI（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q3
BJ-2023-CY-ERMO,8,③,选择题(题肢),B3,升级复判(escc01),中,概念外延关系属推理；③法律体系需B3、④唯物主义形态需PH（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-CY-ERMO-Q8
BJ-2023-DC-ERMO,1,①,选择题(题肢),B3,升级复判(escc01),中,中国式现代化、科学社会主义、道路多样性属B1；卡1列道路多样性排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q1
BJ-2023-DC-ERMO,13,④,选择题(题肢),B3,首判(c005),中,联合国地位、大国责任属国际政治；良法善治属法治；民事行为能力属法律（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q13
BJ-2023-DC-ERMO,3,①,选择题(题肢),B3,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q3
BJ-2023-DC-ERMO,3,②,选择题(题肢),B3,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q3
BJ-2023-DC-ERMO,4,②,选择题(题肢),B3,升级复判(escc01),低,文物活化、革命遗迹红色血脉属CU；②共建共治共享社会治理（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q4
BJ-2023-DC-YIMO,1,①,选择题(题肢),B3,升级复判(escc01),低,主要矛盾、总体趋势属PH；战略思维可涉思维书；①党的领导（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q1
BJ-2023-DC-YIMO,13,④,选择题(题肢),B3,首判(c006),中,利弊转化、辩证否定属哲学；超前思维涉思维；④立法规范属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q13
BJ-2023-DC-YIMO,8,①,选择题(题肢),B3,首判(c006),中,法律促进道德、执法主体属B3；正确肢③第三次分配共同富裕属B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q8
BJ-2023-DC-YIMO,8,④,选择题(题肢),B3,首判(c006),中,法律促进道德、执法主体属B3；正确肢③第三次分配共同富裕属B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q8
BJ-2023-HD-ERMO,11,①,选择题(题肢),B3,首判(c008),中,调查研究：群众观点/实践与认识属哲学；质询权、党的宗旨属必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q11
BJ-2023-HD-ERMO,11,②,选择题(题肢),B3,首判(c008),中,调查研究：群众观点/实践与认识属哲学；质询权、党的宗旨属必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q11
BJ-2023-HD-ERMO,11,④,选择题(题肢),B3,首判(c008),中,调查研究：群众观点/实践与认识属哲学；质询权、党的宗旨属必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q11
BJ-2023-HD-ERMO,14,D,选择题(题肢),B3,首判(c008),中,要约与合同成立、仲裁协议属选必二；正确项政府监管市场秩序属必修二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q14
